public_incident_id,classification_system,classification_level,classification_code,classification_label_tr,classification_label_en,assertion_status
TR-MINE-1983-0001,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-1983-0001,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-1983-0002,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-1983-0002,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-1987-0001,project_event_mechanism,,roof_or_ground_collapse,tavan/göçük,roof or ground collapse,reported
TR-MINE-1990-0001,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-1990-0001,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-1992-0001,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-1992-0001,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-1995-0001,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-1995-0001,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-2003-0001,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-2003-0001,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-2003-0002,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-2003-0002,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-2004-0001,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-2004-0001,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-2005-0001,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-2005-0001,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-2006-0001,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-2006-0001,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-2009-0001,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-2009-0001,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-2010-0001,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-2010-0001,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-2010-0002,project_event_mechanism,,roof_or_ground_collapse,tavan/göçük,roof or ground collapse,reported
TR-MINE-2013-0002,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-2013-0002,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-2014-0001,project_event_mechanism,,fire,yangın,fire,reported
TR-MINE-2014-0001,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-2014-0001,project_hazard,,fire,yangın,fire,reported
TR-MINE-2014-0001,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-2014-0002,project_event_mechanism,,roof_or_ground_collapse,tavan/göçük,roof or ground collapse,reported
TR-MINE-2014-0003,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-2014-0003,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-2014-0004,project_event_mechanism,,flooding_or_inrush,su baskını/ani su geliri,flooding or inrush,reported
TR-MINE-2014-0004,project_hazard,,water_ingress,su geliri,water ingress,reported
TR-MINE-2014-0007,project_event_mechanism,,roof_or_ground_collapse,tavan/göçük,roof or ground collapse,reported
TR-MINE-2014-0009,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-2014-0009,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-2014-0010,project_event_mechanism,,roof_or_ground_collapse,tavan/göçük,roof or ground collapse,reported
TR-MINE-2014-0011,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-2014-0011,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-2015-0001,project_event_mechanism,,roof_or_ground_collapse,tavan/göçük,roof or ground collapse,reported
TR-MINE-2015-0002,project_event_mechanism,,roof_or_ground_collapse,tavan/göçük,roof or ground collapse,reported
TR-MINE-2015-0004,project_event_mechanism,,roof_or_ground_collapse,tavan/göçük,roof or ground collapse,reported
TR-MINE-2019-0001,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-2019-0001,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-2022-0001,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-2022-0001,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-2024-0003,project_event_mechanism,,roof_or_ground_collapse,tavan/göçük,roof or ground collapse,reported
TR-MINE-2025-0003,project_event_mechanism,,gas_explosion,gaz (grizu) patlaması,gas explosion,reported
TR-MINE-2025-0003,project_hazard,,methane,metan (grizu),methane,reported
TR-MINE-2025-0004,project_event_mechanism,,roof_or_ground_collapse,tavan/göçük,roof or ground collapse,reported
TR-MINE-2025-0006,project_event_mechanism,,roof_or_ground_collapse,tavan/göçük,roof or ground collapse,reported
