public_incident_id,canonical_title_tr,canonical_title_en,incident_start_datetime,incident_end_datetime,date_precision,incident_status,province_code,province_name,district_code,settlement,latitude,longitude,coordinate_precision,location_uncertainty_m,fatalities_current,injuries_current,missing_current,casualty_status
TR-MINE-1983-0001,1983 Armutçuk grizu faciası,,1983-03-07T00:00:00+03:00,,exact_date,in_scope,67,Zonguldak,,,,,,,103,,,
TR-MINE-1983-0002,"Maden kazası, Zonguldak (1983-04-10)",,1983-04-10T00:00:00+03:00,,exact_date,in_scope,67,Zonguldak,,,,,,,10,,,
TR-MINE-1983-0003,"Maden kazası, Amasya (1983-07-01)",,1983-07-01T00:00:00+03:00,,month,in_scope,05,Amasya,,,,,,,5,,,
TR-MINE-1987-0001,"Maden kazası, Zonguldak (1987-01-01)",,1987-01-01T00:00:00+03:00,,month,in_scope,67,Zonguldak,,,,,,,8,,,
TR-MINE-1990-0001,"Maden kazası, Bartın (1990-01-31)",,1990-01-31T00:00:00+03:00,,exact_date,in_scope,74,Bartın,,,,,,,5,,,
TR-MINE-1990-0002,1990 Amasya grizu faciası,,1990-02-07T00:00:00+03:00,,exact_date,in_scope,05,Amasya,,,,,,,68,,,
TR-MINE-1992-0001,1992 Kozlu grizu faciası,,1992-03-03T00:00:00+03:00,,exact_date,in_scope,67,Zonguldak,,,,,,,263,,,
TR-MINE-1995-0001,"Maden kazası, Yozgat (1995-03-26)",,1995-03-26T00:00:00+03:00,,exact_date,in_scope,66,Yozgat,,,,,,,38,,,
TR-MINE-2003-0001,"Maden kazası, Karaman (2003-11-22)",,2003-11-22T00:00:00+03:00,,exact_date,in_scope,70,Karaman,,,,,,,10,,,
TR-MINE-2003-0002,"Maden kazası, Erzurum (2003-08-08)",,2003-08-08T00:00:00+03:00,,exact_date,in_scope,25,Erzurum,,,,,,,7,,,disputed
TR-MINE-2004-0001,"Maden kazası, Çorum (2004-08-01)",,2004-08-01T00:00:00+03:00,,month,in_scope,19,Çorum,,,,,,,3,,,
TR-MINE-2004-0002,"Maden kazası, Kastamonu (2004-09-08)",,2004-09-08T00:00:00+03:00,,exact_date,in_scope,37,Kastamonu,,,,,,,19,,,
TR-MINE-2005-0001,"Maden kazası, Kütahya (2005-04-01)",,2005-04-01T00:00:00+03:00,,month,in_scope,43,Kütahya,,,,,,,18,,,
TR-MINE-2006-0001,"Maden kazası, Balıkesir (2006-06-01)",,2006-06-01T00:00:00+03:00,,exact_date,in_scope,10,Balıkesir,,,,,,,17,,,
TR-MINE-2009-0001,"Maden kazası, Bursa (2009-12-10)",,2009-12-10T00:00:00+03:00,,exact_date,in_scope,16,Bursa,,,,,,,19,,,
TR-MINE-2010-0001,Karadon Maden Kazası,2010 Zonguldak mine disaster,2010-05-17T00:00:00+03:00,,exact_date,in_scope,67,Zonguldak,,,41.485865,31.864072,facility_approximate,,30,11,,
TR-MINE-2010-0002,Küçükdoğanca maden kazası,Küçükdoğanca mining accident,2010-07-07T00:00:00+03:00,,exact_date,in_scope,22,Edirne,,,,,,,3,,,
TR-MINE-2010-0003,"Maden kazası, Bursa (2010-10-26)",,2010-10-26T00:00:00+03:00,,exact_date,in_scope,16,Bursa,,,,,,,2,,,
TR-MINE-2010-0004,Odaköy maden kazası,Odaköy mining accident,2010-02-23T00:00:00+03:00,,exact_date,in_scope,10,Balıkesir,,,,,,,17,,,
TR-MINE-2011-0001,"Çöllolar maden kazası, Afşin-Elbistan (Şubat 2011)",,2011-02-01T00:00:00+03:00,,month,in_scope,46,Kahramanmaraş,,,,,,,11,,,
TR-MINE-2013-0001,"Maden kazası, Manisa (2013-01-18)",,2013-01-18T00:00:00+03:00,,exact_date,in_scope,45,Manisa,,,,,,,1,,,
TR-MINE-2013-0002,"Maden kazası, Zonguldak (2013-01-08)",,2013-01-08T00:00:00+03:00,,exact_date,in_scope,67,Zonguldak,,,,,,,8,,,
TR-MINE-2014-0001,Soma Faciası,Soma mine disaster,2014-05-13T00:00:00+03:00,,exact_date,in_scope,45,Manisa,,,39.077194,27.525258,facility_approximate,,301,88,,
TR-MINE-2014-0003,"Maden kazası, Amasya (2014-06-29)",,2014-06-29T00:00:00+03:00,,exact_date,in_scope,05,Amasya,,,,,,,5,,,
TR-MINE-2014-0004,"Maden kazası, Karaman (2014-10-28)",,2014-10-28T00:00:00+03:00,,exact_date,in_scope,70,Karaman,,,,,,,18,,,
TR-MINE-2014-0005,"Maden kazası, Elazığ (2014-11-06)",,2014-11-06T00:00:00+03:00,,exact_date,in_scope,23,Elazığ,,,,,,,1,,,
TR-MINE-2014-0006,"Maden kazası, Kahramanmaraş (2014-06-01)",,2014-06-01T00:00:00+03:00,,exact_date,in_scope,46,Kahramanmaraş,,,,,,,1,,,
TR-MINE-2014-0007,"Maden kazası, Şırnak (2014-06-11)",,2014-06-11T00:00:00+03:00,,exact_date,in_scope,73,Şırnak,,,,,,,3,,,
TR-MINE-2014-0008,"Maden kazası, Bingöl (2014-11-19)",,2014-11-19T00:00:00+03:00,,exact_date,in_scope,12,Bingöl,,,,,,,1,,,
TR-MINE-2014-0009,"Maden kazası, Nevşehir (2014-04-26)",,2014-04-26T00:00:00+03:00,,exact_date,in_scope,50,Nevşehir,,,,,,,1,,,
TR-MINE-2014-0010,"Maden kazası, Şırnak (2014-06-18)",,2014-06-18T00:00:00+03:00,,exact_date,in_scope,73,Şırnak,,,,,,,1,,,
TR-MINE-2014-0011,"Maden kazası, Edirne (2014-11-13)",,2014-11-13T00:00:00+03:00,,exact_date,in_scope,22,Edirne,,,,,,,3,,,
TR-MINE-2014-0012,"Maden kazası, Amasra, Bartın (2014-11-01)",,2014-11-01T00:00:00+03:00,,exact_date,in_scope,74,Bartın,,,,,,,2,,,
TR-MINE-2014-0013,"Maden kazası, Gelik, Zonguldak (2014-11-01)",,2014-11-01T00:00:00+03:00,,exact_date,in_scope,67,Zonguldak,,,,,,,1,,,
TR-MINE-2015-0001,"Maden kazası, Sivas (2015-01-21)",,2015-01-21T00:00:00+03:00,,exact_date,in_scope,58,Sivas,,,,,,,1,,,
TR-MINE-2015-0002,"Maden kazası, Zonguldak (2015-03-10)",,2015-03-10T00:00:00+03:00,,exact_date,in_scope,67,Zonguldak,,,,,,,1,,,
TR-MINE-2015-0003,"Maden kazası, Muğla (2015-02-07)",,2015-02-07T00:00:00+03:00,,exact_date,in_scope,48,Muğla,,,,,,,1,,,
TR-MINE-2015-0004,"Maden kazası, Amasya (2015-06-08)",,2015-06-08T00:00:00+03:00,,exact_date,in_scope,05,Amasya,,,,,,,1,,,
TR-MINE-2015-0005,"Maden kazası, Ankara (2015-07-27)",,2015-07-27T00:00:00+03:00,,exact_date,in_scope,06,Ankara,,,,,,,1,,,
