public_incident_id,field_name,source_organization,title,document_type,url,publication_date,retrieved_at,language,source_tier,short_evidence_excerpt
TR-MINE-2010-0001,canonical_title_en,Wikidata,Wikidata item Q4619016: Karadon Maden Kazası,other,https://www.wikidata.org/wiki/Q4619016,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2010-0001,canonical_title_tr,Wikidata,Wikidata item Q4619016: Karadon Maden Kazası,other,https://www.wikidata.org/wiki/Q4619016,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2010-0001,date_precision,Wikipedia (tr),Karadon maden kazası,other,https://tr.wikipedia.org/wiki/Karadon_maden_kazas%C4%B1,,2026-07-14T10:07:31Z,tr,3,
TR-MINE-2010-0001,fatalities_current,Wikipedia (tr),Karadon maden kazası,other,https://tr.wikipedia.org/wiki/Karadon_maden_kazas%C4%B1,,2026-07-14T10:07:31Z,tr,3,
TR-MINE-2010-0001,incident_start_datetime,Wikipedia (tr),Karadon maden kazası,other,https://tr.wikipedia.org/wiki/Karadon_maden_kazas%C4%B1,,2026-07-14T10:07:31Z,tr,3,
TR-MINE-2010-0001,latitude,Wikipedia (tr),Karadon maden kazası,other,https://tr.wikipedia.org/wiki/Karadon_maden_kazas%C4%B1,,2026-07-14T10:07:31Z,tr,3,
TR-MINE-2010-0001,longitude,Wikipedia (tr),Karadon maden kazası,other,https://tr.wikipedia.org/wiki/Karadon_maden_kazas%C4%B1,,2026-07-14T10:07:31Z,tr,3,
TR-MINE-2010-0001,province_code,Wikipedia (en),2010 Zonguldak mine disaster,other,https://en.wikipedia.org/wiki/2010_Zonguldak_mine_disaster,,2026-07-14T10:07:31Z,en,3,
TR-MINE-2014-0001,canonical_title_en,Wikidata,Wikidata item Q16869476: Soma Faciası,other,https://www.wikidata.org/wiki/Q16869476,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2014-0001,canonical_title_tr,Wikidata,Wikidata item Q16869476: Soma Faciası,other,https://www.wikidata.org/wiki/Q16869476,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2014-0001,date_precision,Wikipedia (tr),Soma Faciası,other,https://tr.wikipedia.org/wiki/Soma_Facias%C4%B1,,2026-07-14T10:07:31Z,tr,3,
TR-MINE-2014-0001,fatalities_current,Wikipedia (tr),Soma Faciası,other,https://tr.wikipedia.org/wiki/Soma_Facias%C4%B1,,2026-07-14T10:07:31Z,tr,3,
TR-MINE-2014-0001,incident_start_datetime,Wikipedia (tr),Soma Faciası,other,https://tr.wikipedia.org/wiki/Soma_Facias%C4%B1,,2026-07-14T10:07:31Z,tr,3,
TR-MINE-2014-0001,latitude,Wikipedia (tr),Soma Faciası,other,https://tr.wikipedia.org/wiki/Soma_Facias%C4%B1,,2026-07-14T10:07:31Z,tr,3,
TR-MINE-2014-0001,longitude,Wikipedia (tr),Soma Faciası,other,https://tr.wikipedia.org/wiki/Soma_Facias%C4%B1,,2026-07-14T10:07:31Z,tr,3,
TR-MINE-2014-0001,province_code,Wikipedia (tr),Soma Faciası,other,https://tr.wikipedia.org/wiki/Soma_Facias%C4%B1,,2026-07-14T10:07:31Z,tr,3,
TR-MINE-2022-0001,canonical_title_en,Wikidata,Wikidata item Q114670156: Amasra maden kazası,other,https://www.wikidata.org/wiki/Q114670156,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2022-0001,canonical_title_tr,Wikidata,Wikidata item Q114670156: Amasra maden kazası,other,https://www.wikidata.org/wiki/Q114670156,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2022-0001,date_precision,Wikidata,Wikidata item Q114670156: Amasra maden kazası,other,https://www.wikidata.org/wiki/Q114670156,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2022-0001,fatalities_current,Wikipedia (tr),Amasra maden kazası,other,https://tr.wikipedia.org/wiki/Amasra_maden_kazas%C4%B1,,2026-07-14T10:07:31Z,tr,3,
TR-MINE-2022-0001,incident_start_datetime,Wikidata,Wikidata item Q114670156: Amasra maden kazası,other,https://www.wikidata.org/wiki/Q114670156,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2022-0001,latitude,Wikipedia (tr),Amasra maden kazası,other,https://tr.wikipedia.org/wiki/Amasra_maden_kazas%C4%B1,,2026-07-14T10:07:31Z,tr,3,
TR-MINE-2022-0001,longitude,Wikipedia (tr),Amasra maden kazası,other,https://tr.wikipedia.org/wiki/Amasra_maden_kazas%C4%B1,,2026-07-14T10:07:31Z,tr,3,
TR-MINE-2022-0001,province_code,Wikipedia (en),Amasra mine explosion,other,https://en.wikipedia.org/wiki/Amasra_mine_explosion,,2026-07-14T10:07:31Z,en,3,
TR-MINE-2024-0001,canonical_title_en,Wikidata,Wikidata item Q124522721: Erzincan maden kazası,other,https://www.wikidata.org/wiki/Q124522721,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2024-0001,canonical_title_tr,Wikidata,Wikidata item Q124522721: Erzincan maden kazası,other,https://www.wikidata.org/wiki/Q124522721,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2024-0001,date_precision,Wikipedia (en),Çöpler mine disaster,other,https://en.wikipedia.org/wiki/%C3%87%C3%B6pler_mine_disaster,,2026-07-14T10:07:31Z,en,3,
TR-MINE-2024-0001,fatalities_current,Wikipedia (tr),İliç maden kazası,other,https://tr.wikipedia.org/wiki/%C4%B0li%C3%A7_maden_kazas%C4%B1,,2026-07-14T10:07:31Z,tr,3,
TR-MINE-2024-0001,incident_start_datetime,Wikipedia (en),Çöpler mine disaster,other,https://en.wikipedia.org/wiki/%C3%87%C3%B6pler_mine_disaster,,2026-07-14T10:07:31Z,en,3,
TR-MINE-2024-0001,latitude,Wikidata,Wikidata item Q124522721: Erzincan maden kazası,other,https://www.wikidata.org/wiki/Q124522721,,2026-07-14T10:07:31Z,mul,3,
TR-MINE-2024-0001,longitude,Wikidata,Wikidata item Q124522721: Erzincan maden kazası,other,https://www.wikidata.org/wiki/Q124522721,,2026-07-14T10:07:31Z,mul,3,
