code,label_tr,label_en,definition,examples,version_added,deprecated_in_version,notes
mine_underground,yeraltı madeni,underground mine,Underground mining operation,coal galleries,1.0,,
mine_openpit,açık ocak,open-pit mine,Open-pit or open-cast mining operation,lignite open casts,1.0,,
mine_unspecified,maden (türü belirtilmemiş),mine (type unspecified),Mining operation whose working method the source does not state,,1.0,,honest default when sources say only "mine"
quarry,taş ocağı,quarry,Quarrying operation for stone/aggregate/marble,marble quarries,1.0,,
processing_plant,zenginleştirme/işleme tesisi,processing plant,Mineral preparation or processing facility,coal washing plants,1.0,,
tailings_facility,atık (tailings) tesisi,tailings facility,Tailings storage or heap-leach facility,tailings dams,1.0,,
unknown,bilinmiyor,unknown,Facility type not determinable,,1.0,,
other,diğer,other,Facility outside listed categories,,1.0,,requires an explanatory note
archaeological_quarry,antik taş ocağı,archaeological quarry,Ancient/archaeological quarry site — historical context only never an operating site,Sagalassos Termessos quarries,1.1,,excluded from the operational map layer (audit 2026-07-17)
mining_field,maden sahası/havzası,mining field,A field/basin/deposit area rather than one operating site,coal basins,1.1,,context entity (audit 2026-07-17)
operating_directorate,işletme müdürlüğü/müessese,operating directorate,An operating enterprise/directorate overseeing several sites — not one mine,Garp Linyitleri İşletmesi,1.1,,context entity (audit 2026-07-17)
regional_group,bölgesel grup,regional group,A regional aggregate of several mines,South Aegean coal mines,1.1,,context entity (audit 2026-07-17)
deposit,yatak/cevherleşme,deposit,A mineral deposit with no stated operation,,1.1,,context entity (audit 2026-07-17)
proposed_project,önerilen proje,proposed project,A proposed/planned project not yet operating,,1.1,,context entity (audit 2026-07-17)
