code,label_tr,latitude,longitude,source,notes
01,Adana,37.36833,35.70611,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
02,Adıyaman,37.76000,38.27861,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
03,Afyonkarahisar,38.75667,30.53972,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
04,Ağrı,39.71861,43.05222,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
05,Amasya,40.65028,35.83278,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
06,Ankara,39.92639,32.85611,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
07,Antalya,37.18167,30.93333,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
08,Artvin,41.13333,41.85000,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
09,Aydın,37.72833,27.93722,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
10,Balıkesir,39.74083,27.81917,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
11,Bilecik,40.00000,30.16667,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
12,Bingöl,39.04111,40.67583,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
13,Bitlis,38.52583,42.38778,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
14,Bolu,40.67917,31.55833,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
15,Burdur,37.42389,30.08444,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
16,Bursa,40.15000,29.02083,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
17,Çanakkale,40.15056,26.41111,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
18,Çankırı,40.73556,33.36611,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
19,Çorum,40.55222,34.95389,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
20,Denizli,37.84016,29.06982,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
21,Diyarbakır,38.14222,40.27111,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
22,Edirne,41.12000,26.52056,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
23,Elazığ,38.66750,39.35972,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
24,Erzincan,39.67833,39.33000,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
25,Erzurum,40.06306,41.56694,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
26,Eskişehir,39.68250,31.07250,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
27,Gaziantep,37.08333,37.33333,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
28,Giresun,40.57972,38.59444,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
29,Gümüşhane,40.38806,39.41861,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
30,Hakkari,37.46611,44.06444,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
31,Hatay,36.20000,36.15000,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
32,Isparta,37.95667,30.96083,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
33,Mersin,36.67861,33.80528,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
34,İstanbul,41.01222,28.97611,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
35,İzmir,38.41889,27.12972,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
36,Kars,40.45472,43.06028,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
37,Kastamonu,41.51944,33.68972,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
38,Kayseri,38.73695,35.49683,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
39,Kırklareli,41.68111,27.47139,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
40,Kırşehir,39.32389,34.12917,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
41,Kocaeli,40.76444,29.94500,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
43,Kütahya,39.30472,29.59000,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
44,Malatya,38.34806,38.31778,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
45,Manisa,38.74944,28.12278,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
46,Kahramanmaraş,37.89833,36.97111,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
47,Mardin,37.31775,40.71533,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
48,Muğla,37.03028,28.50639,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
49,Muş,39.00056,41.82722,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
50,Nevşehir,38.78167,34.68806,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
51,Niğde,37.91583,34.69361,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
52,Ordu,40.81139,37.54056,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
