code,label_tr,label_en,definition,examples,version_added,deprecated_in_version,notes
01,Adana,Adana,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
02,Adıyaman,Adiyaman,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
03,Afyonkarahisar,Afyonkarahisar,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
04,Ağrı,Agri,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
05,Amasya,Amasya,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
06,Ankara,Ankara,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
07,Antalya,Antalya,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
08,Artvin,Artvin,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
09,Aydın,Aydin,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
10,Balıkesir,Balikesir,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
11,Bilecik,Bilecik,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
12,Bingöl,Bingol,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
13,Bitlis,Bitlis,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
14,Bolu,Bolu,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
15,Burdur,Burdur,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
16,Bursa,Bursa,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
17,Çanakkale,Canakkale,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
18,Çankırı,Cankiri,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
19,Çorum,Corum,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
20,Denizli,Denizli,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
21,Diyarbakır,Diyarbakir,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
22,Edirne,Edirne,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
23,Elazığ,Elazig,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
24,Erzincan,Erzincan,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
25,Erzurum,Erzurum,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
26,Eskişehir,Eskisehir,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
27,Gaziantep,Gaziantep,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
28,Giresun,Giresun,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
29,Gümüşhane,Gumushane,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
30,Hakkâri,Hakkari,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
31,Hatay,Hatay,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
32,Isparta,Isparta,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
33,Mersin,Mersin,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
34,İstanbul,Istanbul,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
35,İzmir,Izmir,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
36,Kars,Kars,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
37,Kastamonu,Kastamonu,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
38,Kayseri,Kayseri,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
39,Kırklareli,Kirklareli,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
40,Kırşehir,Kirsehir,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
41,Kocaeli,Kocaeli,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
42,Konya,Konya,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
43,Kütahya,Kutahya,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
44,Malatya,Malatya,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
45,Manisa,Manisa,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
46,Kahramanmaraş,Kahramanmaras,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
47,Mardin,Mardin,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
48,Muğla,Mugla,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
49,Muş,Mus,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
50,Nevşehir,Nevsehir,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
51,Niğde,Nigde,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
